"External ID";"name";"Asset Code";"type";"is_cip";"Journal";"Asset Account";"Depreciation Entries: Asset Account";"Depreciation Entries: Expense Account";"method_time";"method_number";"method_period";"method";"prorata";"open_asset";"first_day_of_month";"method_end"
asset_land;Land;AssetCode|L;fixed;false;Journal Depreciation;"141101";"151101";"60110102";number;0;1;linear;true;false;true;
asset_land_property_investment;Land Property Investment;AssetCode|L;fixed;false;Journal Depreciation;"141201";"151101";"60110102";number;0;1;linear;true;false;true;
asset_transportation_equipment_-_penjualan_unit;Transportation Equipment - Penjualan Unit;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110101";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_administrasi_unit;Transportation Equipment - Administrasi Unit;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110102";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_penjualan_service;Transportation Equipment - Penjualan Service;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110103";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_administrasi_service;Transportation Equipment - Administrasi Service;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110104";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_accounting;Transportation Equipment - Accounting;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110105";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_finance;Transportation Equipment - Finance;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110106";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_collection;Transportation Equipment - Collection;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110107";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_hr;Transportation Equipment - HR;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110108";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_legal;Transportation Equipment - Legal;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110109";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_internal_audit;Transportation Equipment - Internal Audit;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110110";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_it;Transportation Equipment - IT;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110111";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_bod;Transportation Equipment - BOD;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110112";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_vehicle;Transportation Equipment - Vehicle;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110113";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_budget;Transportation Equipment - Budget;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110114";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_tax;Transportation Equipment - Tax;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110115";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_marketing_ho;Transportation Equipment - Marketing HO;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110116";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_corpcom_&_customer_relation;Transportation Equipment - Corpcom & Customer Relation;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110117";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_mpd;Transportation Equipment - MPD;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110118";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_ga_ho;Transportation Equipment - GA HO;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110119";number;60;1;linear;true;false;true;
asset_transportation_equipment_-_secretary;Transportation Equipment - Secretary;AssetCode|V;fixed;false;Journal Depreciation;"143101";"152101";"60110120";number;60;1;linear;true;false;true;
asset_prepaid_expenses_other_-_pe_others_internet_exp_-_administrasi_unit;Prepaid Expenses Other - PE Others Internet Exp - Administrasi Unit;AssetCode|PE;prepaid;false;Journal Depreciation;"115999";"115999";"60060202";number;12;1;linear;true;true;true;
asset_prepaid_-_stnk;prepaid - STNK;AssetCode|PE;prepaid;false;Journal Depreciation;"115904";"115904";"60100201";number;12;1;linear;true;false;true;
asset_prepaid_rent_-_vehicles_-_penjualan_unit;Prepaid Rent - Vehicles - Penjualan Unit;AssetCode|PE;prepaid;false;Journal Depreciation;"115999";"115999";"60050501";number;12;1;linear;true;false;true;
asset_prepaid_expenses_other_-_pe_others_binding_&_printing_exp_-_after_sales;Prepaid Expenses Other - PE Others Binding & Printing Exp - After Sales;AssetCode|PE;prepaid;false;Journal Depreciation;"115999";"115999";"60040303";number;12;1;linear;true;true;true;
asset_prepaid_expenses_other_-_water_-_administrasi_workshop;Prepaid Expenses Other - Water - Administrasi Workshop;AssetCode|PE;prepaid;false;Journal Depreciation;"115999";"115999";"60070204";number;12;1;linear;true;false;true;
asset_prepaid_expenses_other_-_water_-_administrasi_showroom;Prepaid Expenses Other - Water - Administrasi Showroom;AssetCode|PE;prepaid;false;Journal Depreciation;"115999";"115999";"60070202";number;12;1;linear;true;false;true;
asset_leasehold_improvement_-_penjualan_unit;Leasehold Improvement - Penjualan Unit;AssetCode|B;fixed;false;Journal Depreciation;"148101";"151103";"60110401";number;60;1;linear;true;false;true;
asset_leasehold_improvement_-_administrasi_unit;Leasehold Improvement - Administrasi Unit;AssetCode|B;fixed;false;Journal Depreciation;"148101";"151103";"60110402";number;60;1;linear;true;false;true;
asset_building_property_investment_-_accounting;Building Property Investment - Accounting;AssetCode|B;fixed;false;Journal Depreciation;"142201";"151201";"60110305";number;60;1;linear;true;false;true;
